"","PT_seg01","PT_seg02","PT_seg03","PT_seg04","PT_seg05","PT_seg06","PT_seg07","PT_seg08","PT_seg09","PT_seg10","PT_seg11","PT_seg12","PT_seg13","PT_seg14","PT_seg15","PT_seg16"
"ZSC31",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391558912261151,0,0
"TFGroup_1",0,0,0,0,0,0,0,0.053513940968464,0,0.0540501674135948,0.0923127120304476,0.076773789931963,0.10462286141681,0.0740301862412657,0.0947776419908043,0.0972518111124801
"TFGroup_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TFGroup_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TFGroup_4",0,0,0,0,0,0,0,0,-0.0828212758080536,0,0,-0.0802424278230468,0,0,0,0
"TFGroup_5",0,0,0,0,0,-0.0706823945497831,-0.0795785856302717,-0.0629656382784101,-0.0720907687902229,-0.0636363424454269,-0.12617753994431,-0.172399396482923,-0.140903813501054,-0.132328541371625,-0.130894060766903,-0.185501420929043
"TFGroup_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TFGroup_7",0,0,0,0,0,0,0,0,0,0,0,0,0.108110529058507,0,0,0
"TFGroup_8",0,0,0,0.0432783494618199,0,0,0,0,-0.0364587251108972,0,-0.0397823551470931,-0.0735721729493875,-0.0637919143578679,-0.0849135308696401,-0.0863582941461976,-0.0646189657597691
"TFGroup_9",0,0,0,0,0,0,0,0,-0.0393683723301233,0,0,0,0,0,0,0
"TFGroup_10",0,0,0,0,0,0,-0.0440609457174537,0,-0.0361819215522286,0,0,0,0,0,-0.0571833105395328,-0.0728912651563387
"TFGroup_11",0,0,0,0,0,0.0609388843727223,0.0517408430203437,0,0,0,0,0,0.0482413238465651,0,0.0701216238658791,0.0426158637599268
"TFGroup_12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TFGroup_13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TFGroup_14",0,0,0,0,0,0,0,0,0,0,0.0947522695655435,0.216118872056574,0.165016098101788,0.223844336166588,0.201943987722246,0.265858880722819
